Year,Donor,Where Donor Lives,Donor's Source of Wealth,Recipient,Recipient Location,Cause,Gift type,Gift Value
2016,Tom and Karen Falk,Texas,Manufacturing,United Way of Metropolitan Dallas,Texas,Social services,Gift,"$2,000,000 "
2016,Tim and Mary Boyle,Oregon,Retail,"Reed College (Portland, Ore.)",Oregon,Colleges and universities,Gift,"$2,000,000 "
2016,John and Rosemary Brown,Michigan,Health products,Auburn U. (Ala.),Alabama,Colleges and universities,Gift,"$2,000,000 "
2016,Steven H. Korman,New York,Real estate,Thomas Jefferson U. (Philadelphia),Pennsylvania,Colleges and universities,Gift,"$2,000,000 "
2016,Steve Charles,Virginia,"Consulting, Government",Temple U. (Philadelphia),Pennsylvania,Colleges and universities,Gift,"$2,000,000 "
2016,Suzanne Salter Arkin,New York,Law,"Sarah Lawrence College (Bronxville, N.Y.)",New York,Colleges and universities,Gift,"$2,000,000 "
2016,Larry Sabato,Virginia,Education,U. of Virginia (Charlottesville),Virginia,Colleges and universities,,"$2,000,000 "
2016,Ed Reid,New Jersey,Manufacturing,Morristown Medical Center (N.J.),New Jersey,Health,BequestUnrestricted,"$2,000,000 "
2016,Julius W. Hegeler II,Illinois,Industry,Danville Area Community College (Ill.),Illinois,Colleges and universities,Pledge,"$2,000,000 "
2016,Rozene Supple,California,Entertainment,Palm Springs Unified School District (Calif.),California,Education,Gift,"$2,000,000 "
2016,William H. and Sue Gross,California,"Finance, Investments",New York Times Neediest Cases Fund,New York,Human and social services,Gift,"$2,000,000 "
2016,William H. and Sue Gross,California,"Finance, Investments","Pimco Foundation (Newport Beach, Calif.)",California,Other groups,Gift,"$2,000,000 "
2016,Corson family,,,Interlochen Center for the Arts (Mich.),Michigan,Arts,,"$2,000,000 "
2016,Mike and Sue Raney,Washington,Finance,National Park Foundation (Washington),District of Columbia,Conservation and the environment,Gift,"$2,000,000 "
2016,B. Thomas Golisano,New York,Investments,"WXXI Public Broadcasting (Rochester, N.Y.)",New York,Other groups,Gift,"$2,000,000 "
2016,Anonymous,,,"Centenary College (Hackettstown, N.J.)",New Jersey,Colleges and universities,BequestPledge,"$2,000,000 "
2016,Frazier family,,,Louisville Zoo (Ky.),Kentucky,Zoos and aquariums,,"$2,000,000 "
2016,Anonymous,,,Michigan State U. (East Lansing),Michigan,Colleges and universities,Pledge,"$2,000,000 "
2016,Rita Buzzard,New York,Retail,U. of Rochester Medical Center (N.Y.),New York,Health,Gift,"$2,000,000 "
2016,Sidney and Lois Eskenazi,Indiana,Real estate,Indiana U. School of Medicine (Indianapolis),Indiana,Colleges and universities,Gift,"$2,000,000 "
2016,Patricia Q. Stonesifer and Michael Kinsley,District of Columbia,,"Smithsonian Institution, National Museum of African American History and Culture (Washington)",District of Columbia,Museums and libraries,Gift,"$2,000,000 "
2016,Earl W. and Amanda Stafford,Virginia,Consulting,"Smithsonian Institution, National Museum of African American History and Culture (Washington)",District of Columbia,Museums and libraries,Gift,"$2,000,000 "
2016,Anonymous,,,Colorado State U. (Fort Collins),Colorado,Colleges and universities,Gift,"$2,000,000 "
2016,Jim and Carol Cure,Oregon,Engineering,"Purdue U. (West Lafayette, Ind.)",Indiana,Colleges and universities,Gift,"$2,000,000 "
2016,Anonymous,,,U. of Nevada at Las Vegas Foundation,Nevada,Colleges and universities,Gift,"$2,000,000 "
2016,Alsam Foundation (Leonard Samuel (Samuel) Skaggs),Utah,Retail,"Scripps Research Institute (La Jolla, Calif.)",California,Colleges and universities,Gift,"$2,000,000 "
2016,Phillip H. Morse,Florida,Professional Sports,Danvers High School (Mass.),Massachusetts,Education,GiftChallenge,"$2,000,000 "
2016,Eugene and Zara Shvidler,Colorado,Investments,Cleveland Clinic,Ohio,Health,Gift,"$2,000,000 "
2016,Julius W. Hegeler II,Illinois,Industry,Danville Public School Foundation (Ill.),Illinois,Education,Pledge,"$2,000,000 "
2016,Rose Ellen Greene,,Finance,Florida International U. Foundation (North Miami),Florida,Colleges and universities,,"$2,000,000 "
2016,Waenard and Sheila M. Miller,Texas,Health care,Clemson U. (S.C.),South Carolina,Colleges and universities,,"$2,000,000 "
2016,Julius W. Hegeler II,Illinois,Industry,"Millikin U. (Decatur, Ill.)",Illinois,Colleges and universities,Pledge,"$2,000,000 "
2016,Michael and Millie Brown,Kansas,,U. of Missouri at Columbia,Missouri,Colleges and universities,,"$2,000,000 "
2016,Jennifer Lawrence Foundation (Jennifer Lawrence),,Entertainment,"Kosair Children's Hospital Foundation (Louisville, Ky.)",Kentucky,Health,,"$2,000,000 "
2016,Clint Severson and Conni Ahart,California,Health products,Minot State U. College of Business (N.D.),North Dakota,Colleges and universities,,"$2,000,000 "
2016,Mary Livingston Griggs and Mary Griggs Burke Foundation (Mary Griggs Burke),New York,Family wealth,Japan Society (New York),New York,Museums and libraries,Bequest,"$2,000,000 "
2016,Mark Burnham and Eric Sprunk,,Finance,U. of Montana Foundation (Missoula),Montana,Colleges and universities,,"$2,000,000 "
2016,Jeanne and Rex Sinquefield,Missouri,Finance,U. of Missouri at Columbia,Missouri,Colleges and universities,Pledge,"$2,000,000 "
2016,Robert A. and Penny Fox,Pennsylvania,Finance,Drexel U. (Philadelphia),Pennsylvania,Colleges and universities,,"$2,000,000 "
2016,Gerald Timmis,Michigan,Health care,"Beaumont Hospital (Royal Oak, Mich.)",Michigan,Health,,"$2,000,000 "
2016,Michael Cummings and Pamela Miller,Missouri,,U. of Kansas (Lawrence),Kansas,Colleges and universities,Pledge,"$2,000,000 "
2016,Ruth Wehage Schroer,,,"Notre Dame Academy (Park Hills, Ky.)",Kentucky,Education,Bequest,"$1,995,000 "
2016,Robert S. and Germaine Lahiff Hines Endowment (Robert and Germaine Lahiff Hines),Hawaii,Government,St. Vincent Charity Medical Center (Cleveland),Ohio,Health,Bequest,"$1,900,000 "
2016,Doris Nims,Connecticut,Health care,"Wheeler Clinic (Plainville, Conn.)",Connecticut,Health,Bequest,"$1,900,000 "
2016,Stephanie Umbach,Indiana,Education,Valparaiso U. (Ind.),Indiana,Colleges and universities,Bequest,"$1,800,000 "
2016,Helen Burns Harrigan,Kentucky,Investments,"Botanica (Louisville, Ky.)",Kentucky,Other groups,Bequest,"$1,800,000 "
2016,Ernest and Virginia Klema,,Education,U. of Kansas Endowment (Lawrence),Kansas,Colleges and universities,Bequest,"$1,800,000 "
2016,Henry F. and Maryann Roman,,,"Seton Hall U. (South Orange, N.J.)",New Jersey,Colleges and universities,Bequest,"$1,750,000 "
2016,James Patterson,,Entertainment,Scholastic Reading Club (New York),New York,Education,Pledge,"$1,750,000 "
2016,P. Roy and Diana T. Vagelos,New Jersey,Pharmaceuticals,"Rutgers U. (New Brunswick, N.J.)",New Jersey,Colleges and universities,,"$1,750,000 "
2016,Stephen Ifshin,,Real estate,U. of Vermont Foundation (Burlington),Vermont,Colleges and universities,Pledge,"$1,750,000 "
2016,Craig Rogerson,Pennsylvania,Chemicals,Michigan State U. (East Lansing),Michigan,Colleges and universities,Noncash,"$1,725,000 "
2016,Elizabeth Verdow,Michigan,,Detroit Institute of Arts,Michigan,Arts,Bequest,"$1,710,000 "
2016,Maxine Lane,Arizona,,"Kean U. Foundation (Union, N.J.)",New Jersey,Colleges and universities,Bequest,"$1,700,000 "
2016,Heising-Simons Foundation (Elizabeth Simons and Mark Heising),California,"Family wealth, Investments",U. of California at San Diego,California,Colleges and universities,Gift,"$1,700,000 "
2016,Anonymous,,,U. of Missouri at Columbia,Missouri,Colleges and universities,,"$1,675,000 "
2016,James K. Schooler,Texas,Law,Da Camera (Houston),Texas,Arts,Bequest,"$1,640,000 "
2016,Lisa Gorman,Massachusetts,,Foundation for Maine's Community Colleges (South Portland),Maine,Foundations,,"$1,600,000 "
2016,Richard and Melanie Heiny Gonzmart,Florida,Food and beverage,"Jesuit High School (Tampa, Fla.)",Florida,Education,Gift,"$1,500,000 "
2016,Anthony D. (Tony) Alderson,Indiana,Construction,Community Health Network Foundation (Indianapolis),Indiana,Health,Gift,"$1,500,000 "
2016,David T. Beals III Charitable Trust (David T. Beals III),Missouri,Investments,Kansas City Art Institute (Mo.),Missouri,Arts,Bequest,"$1,500,000 "
2016,Jeffrey and Robert Neu,California,Manufacturing,"Colorado State U., College of Veterinary Medicine and Biomedical Sciences. (Fort Collins)",Colorado,Other groups,Gift,"$1,500,000 "
2016,Anonymous,,,"Veterans Memorial Park (St. Clair Shores, Mich.)",Michigan,Other groups,GiftNoncash,"$1,500,000 "
2016,Bernice Williams Price,Arkansas,,Boys & Girls Club of the Alma Area (Ark.),Arkansas,Children and youths,Bequest,"$1,500,000 "
2016,Nahum Guzik,California,Technology,Palo Alto Medical Foundation (Calif.),California,Health,Pledge,"$1,500,000 "
2016,Reba Aylward,,Health products,"CarolinaEast Health System (New Bern, N.C.)",North Carolina,Health,,"$1,500,000 "
2016,Jim and Janet Gallogly,Texas,Chemicals,U. of Colorado at Boulder,Colorado,Colleges and universities,,"$1,500,000 "
2016,James J. Maguire Sr. and Frances Maguire,Pennsylvania,Insurance,William Penn Charter School (Philadelphia),Pennsylvania,Education,Gift,"$1,500,000 "
2016,Ira and Jim Millstein,New York,Law,Columbia Law School (New York),New York,Colleges and universities,Gift,"$1,500,000 "
2016,Merlin and Carolyn Hanson,,,"Lakeland Health Foundation (St. Joseph, Mich.)",Michigan,Health,,"$1,500,000 "
2016,Ian and Nancy Davidson,,,U. of Montana Foundation (Missoula),Montana,Colleges and universities,,"$1,500,000 "
2016,Jack and Carolyn Long,Texas,Technology,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,Gift,"$1,500,000 "
2016,Elizabeth Schultz,,Education,U. of Kansas Endowment (Lawrence),Kansas,Colleges and universities,Pledge,"$1,500,000 "
2016,Richard Levao and William Turner III,New Jersey,"Education, Law",Bloomfield College (N.J.),New Jersey,Colleges and universities,Pledge,"$1,500,000 "
2016,John Euliano,Florida,Government,U. of Central Florida (Orlando),Florida,Colleges and universities,Gift,"$1,500,000 "
2016,Bill Lichtenberger,,Industry,"Treasure Coast Food Bank (Fort Pierce, Fla.)",Florida,Human and social services,Gift,"$1,500,000 "
2016,Gregg L. and Molly Engles,Colorado,Food and beverage,"Tuberous Sclerosis Alliance (Silver Spring, Md.)",Maryland,Health,Gift,"$1,500,000 "
2016,Jim and Mary White Frey,Minnesota,Family wealth,"College of Saint Benedict (St. Joseph, Minn.)",Minnesota,Colleges and universities,Gift,"$1,500,000 "
2016,Betty Kabara,,Health products,Saint Mary's U. of Minnesota (Winona),Minnesota,Colleges and universities,,"$1,500,000 "
2016,Herb Kohl Philanthropies (Herbert H. (Herb) Kohl),Wisconsin,Investments,U. of Wisconsin at Madison,Wisconsin,Colleges and universities,Pledge,"$1,500,000 "
2016,Anonymous,,,Special Olympics Missouri (Jefferson City),Missouri,Sports and recreation,Gift,"$1,500,000 "
2016,Kenneth M. and Mary Cadden,Virginia,Finance,Clemson U. (S.C.),South Carolina,Colleges and universities,Gift,"$1,500,000 "
2016,Michael and Joelle Hurlston,,Engineering,U. of California at Davis,California,Colleges and universities,,"$1,500,000 "
2016,Weslie Janeway,New York,Finance,"Jackson Laboratory (Bar Harbor, Me.)",Maine,Health,Gift,"$1,500,000 "
2016,Anonymous,,,Texas Health Resources (Arlington),Texas,Health,,"$1,500,000 "
2016,Jon Freeman,,Real estate,Santa Clara U. (Calif.),California,Colleges and universities,,"$1,500,000 "
2016,Anonymous,,,U. of Alabama at Birmingham,Alabama,Colleges and universities,Gift,"$1,500,000 "
2016,Peter and Aliki Rzepka,Ohio,Real estate,"Joseph & Florence Mandel Jewish Day School (Beachwood, Ohio)",Ohio,Education,,"$1,500,000 "
2016,Ray Titus,Florida,,"Palm Beach Atlantic U. (West Palm Beach, Fla.)",Florida,Colleges and universities,Pledge,"$1,500,000 "
2016,David S. Barlow,Connecticut,Consulting,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,,"$1,500,000 "
2016,Bruce and Bridgitt Evans,Massachusetts,Finance,Vanderbilt U. (Nashville),Tennessee,Colleges and universities,,"$1,500,000 "
2016,Robert J. Herbold,Washington,Consulting,Case Western Reserve U. (Cleveland),Ohio,Colleges and universities,Pledge,"$1,500,000 "
2016,Weslie Janeway,New York,Finance,"Jackson Laboratory (Bar Harbor, Me.)",Maine,Medical research,,"$1,500,000 "
2016,Diamond Fellowship and Educational Foundation (Seymour Diamond),Illinois,Health care,National Headache Foundation (Chicago),Illinois,Health,,"$1,500,000 "
2016,KLE Foundation (Lorraine (Rani) Clasquin and Eric Harslem),Texas,Technology,Austin Achieve Public Schools (Tex.),Texas,Education,Gift,"$1,500,000 "
2016,Fishman Family Foundation (Jeffrey and Brandy Fishman),,,U. of South Florida (Tampa),Florida,Colleges and universities,Gift,"$1,450,000 "
2016,Cathy Bessant and John Clay and Millie West and Tracy Leinbach,,Finance,"College of William & Mary (Williamsburg, Va.)",Virginia,Colleges and universities,,"$1,400,000 "
2016,Anonymous,,,U. of Missouri at Columbia,Missouri,Colleges and universities,,"$1,400,000 "
2016,Donald L. Gill,Iowa,Construction,"Bishop Heelan High School (Sioux City, Iowa)",Iowa,Education,Bequest,"$1,400,000 "
2016,Tom W. Davis,Ohio,Transportation,Ohio State U. (Columbus),Ohio,Colleges and universities,Gift,"$1,400,000 "
2016,Orville and Audrey Waltner,South Dakota,Energy,Freeman Growth Foundation (S.D.),South Dakota,Community foundations,Bequest,"$1,400,000 "
2016,Anthony Ralys,Massachusetts,,Athol Public Library (Mass.),Massachusetts,Museums and libraries,Bequest,"$1,400,000 "
2016,Richard H. and Susan Anderson,Georgia,Transportation,South Texas College of Law (Houston),Texas,Colleges and universities,,"$1,300,000 "
2016,Donald and Luda Soldwedel,Arizona,Media and entertainment,U. of Arizona Foundation (Tucson),Arizona,Colleges and universities,Bequest,"$1,300,000 "
2016,Ewa Marciniak,Kentucky,Education,U. of Kentucky (Lexington),Kentucky,Colleges and universities,Bequest,"$1,294,379 "
2016,Ronnie Isenberg,Florida,Oil,"Palm Beach Opera (West Palm Beach, Fla.)",Florida,Arts,Gift,"$1,250,000 "
2016,Elizabeth Stevens,Massachusetts,Investments,"Buck Institute for Research on Aging (Novato, Calif.)",California,Health,Bequest,"$1,250,000 "
2016,Carl and Sally Gable,Georgia,Law,Woodruff Arts Center (Atlanta),Georgia,Arts,Gift,"$1,250,000 "
2016,Abraham J. & Phyllis Katz Foundation (Abraham and Phyllis Katz),Georgia,Manufacturing,Woodruff Arts Center (Atlanta),Georgia,Arts,Gift,"$1,250,000 "
2016,Anonymous,,,U. of Illinois Laboratory High School (Champaign),Illinois,Colleges and universities,,"$1,250,000 "
2016,Robert and Marilyn Weiss,California,Health products,U. of Scranton (Pa.),Pennsylvania,Colleges and universities,,"$1,250,000 "
2016,Park Loughlin,California,,U. of San Francisco,California,Colleges and universities,,"$1,250,000 "
2016,Virginia Rose Hicks,Arkansas,Engineering,"U. of the Ozarks (Clarksville, Ark.)",Arkansas,Colleges and universities,Bequest,"$1,250,000 "
2016,Stephen Setterberg,,,U. of Minnesota (Minneapolis),Minnesota,Colleges and universities,Pledge,"$1,225,000 "
2016,Glenda Taylor DeLawder,Tennessee,Investments,Elizabethton-Carter County Animal Shelter (Tenn.),Tennessee,Other groups,Bequest,"$1,200,000 "
2016,Rita Stern,Massachusetts,,United States Holocaust Memorial Museum (Washington),District of Columbia,Museums and libraries,Bequest,"$1,200,000 "
2016,Marjorie Doughtery,Oklahoma,Investments,U. of Science and Arts of Oklahoma (Chickasha),Oklahoma,Colleges and universities,Bequest,"$1,200,000 "
2016,Lori Hausfeld,Ohio,Retail,U. of Dayton (Ohio),Ohio,Colleges and universities,Gift,"$1,200,000 "
2016,Shelter Foundation (Patricia and Mark Joseph),Maryland,,Baltimore Symphony Orchestra,Maryland,Arts,,"$1,200,000 "
2016,John D. Baxter,Texas,Health care,Endocrine Society (Washington),District of Columbia,Health,Gift,"$1,200,000 "
2016,Nancy Cameron,Idaho,"Agriculture, Family wealth",Great Falls Rescue Mission (Mont.),Montana,Human and social services,Gift,"$1,150,000 "
2016,Salvatore and Eleanor Mendola,Michigan,Retail,"Four County Community Foundation (Almont, Mich.)",Michigan,Community foundations,Bequest,"$1,144,000 "
2016,Celia Lipton Farris and Victor W. Farris Foundation (Celia Lipton Farris),Florida,"Family wealth, Invention","Scripps Research Institute (La Jolla, Calif.)",California,Health,Gift,"$1,135,000 "
2016,Lesley Chapman,,Technology,Valparaiso U. (Ind.),Indiana,Colleges and universities,,"$1,100,000 "
2016,Ruben and Verónica Salazar,Texas,,Our Lady of the Lake U. (San Antonio),Texas,Colleges and universities,Gift,"$1,100,000 "
2016,Ralph and Eileen Dotta Ackerman,,Education,Edinboro U. (Pa.),Pennsylvania,Colleges and universities,Bequest,"$1,100,000 "
2016,Bernadette Reider,Michigan,Government,Community Foundation for Marquette County (Mich.),Michigan,Community foundations,Bequest,"$1,100,000 "
2016,Hardenbergh Foundation (George Hardenbergh),Minnesota,Investments,Catholic Charities of St. Paul and Minneapolis,Minnesota,Human and social services,Bequest,"$1,100,000 "
2016,Brian and Kathryn Ballard,Florida,Government,Florida State U. (Tallahassee),Florida,Colleges and universities,GiftNoncash,"$1,100,000 "
2016,John Harder,Iowa,Agriculture,"Kirkwood Community College (Cedar Rapids, Iowa)",Iowa,Colleges and universities,GiftNoncash,"$1,100,000 "
2016,Anonymous,,,U. of Alabama at Birmingham,Alabama,Colleges and universities,Bequest,"$1,100,000 "
2016,Helen Hamilton Clark,New York,Transportation,"Sage Colleges (Troy, N.Y.)",New York,Colleges and universities,Bequest,"$1,100,000 "
2016,John Santikos,Texas,Real estate,Hidalgo Foundation of Bexar County (San Antonio),Texas,Children and youths,Bequest,"$1,070,000 "
2016,Ray Gaskins,Virginia,,"Longwood U. (Farmville, Va.)",Virginia,Colleges and universities,Gift,"$1,035,000 "
2016,Laura Moore and Don Sanders,Texas,Health care,U. of Texas Health Science Center at Houston,Texas,Health,GiftMatching,"$1,000,000 "
2016,Richard and Melanie Heiny Gonzmart,Florida,Food and beverage,"Academy of the Holy Names (Tampa, Fla.)",Florida,Education,Gift,"$1,000,000 "
2016,Arthur M. Blank Family Foundation (Arthur M. Blank),Georgia,Retail,Zoo Atlanta,Georgia,Zoos and aquariums,Gift,"$1,000,000 "
2016,Harold H. Bate Foundation (Harold Bate),,Investments,"East Carolina U. Foundation (Greenville, N.C.)",North Carolina,Colleges and universities,Bequest,"$1,000,000 "
2016,David T. Beals III Charitable Trust (David T. Beals III),Missouri,Investments,"Nature Conservancy (Arlington, Va.)",Virginia,Conservation and the environment,BequestChallenge,"$1,000,000 "
2016,David T. Beals III Charitable Trust (David T. Beals III),Missouri,Investments,"Nelson-Atkins Museum of Art (Kansas City, Mo.)",Missouri,Arts,Bequest,"$1,000,000 "
2016,Fred Sitzberger,Wisconsin,Finance,U. of Wisconsin at Milwaukee,Wisconsin,Colleges and universities,UnrestrictedGift,"$1,000,000 "
2016,Eugene Shvidler,Colorado,Investments,Fordham U. (New York),New York,Colleges and universities,Gift,"$1,000,000 "
2016,Marcus Foundation (Bernard Marcus),Georgia,Retail,Zoo Atlanta,Georgia,Zoos and aquariums,Gift,"$1,000,000 "
2016,Gary W. Rollins Foundation (Gary W. Rollins),Georgia,Chemicals,Zoo Atlanta,Georgia,Zoos and aquariums,Gift,"$1,000,000 "
2016,Michael A. DeMayo,North Carolina,Law,"Providence Day School (Charlotte, N.C.)",North Carolina,Education,Gift,"$1,000,000 "
2016,Brian and Amy France,New York,Professional Sports,"Providence Day School (Charlotte, N.C.)",North Carolina,Education,Gift,"$1,000,000 "
2016,Howard R. and Julie Lerner Levine,North Carolina,Retail,"Renaissance West Community Initiative (Charlotte, N.C.)",North Carolina,Children and youths,Gift,"$1,000,000 "
2016,Jeffrey Feil,New York,Real estate,Audubon Zoo (New Orleans),Louisiana,Zoos and aquariums,Gift,"$1,000,000 "
2016,Chief Cares Foundation (Eric and Katherine Church),Tennessee,Entertainment,Juvenile Diabetes Research Foundation (New York),New York,Health,Gift,"$1,000,000 "
2016,Rick and Rita Case,Florida,Retail,Cleveland Clinic in Florida (Weston),Florida,Health,Gift,"$1,000,000 "
2016,Dennis A. Clements and Martha Ann Keels,North Carolina,Health care,U. of Rochester Medical Center (N.Y.),New York,Health,Pledge,"$1,000,000 "
2016,Rob Malcolm,,Food and beverage,U. of Southern California (Los Angeles),California,Colleges and universities,,"$1,000,000 "
2016,Lowell Milken,California,"Education, Real estate",U. of California at Los Angeles,California,Colleges and universities,,"$1,000,000 "
2016,Ralph Becker,North Carolina,"Investments, Media and entertainment",Southern Illinois U. at Carbondale,Illinois,Colleges and universities,,"$1,000,000 "
2016,Hyman Arbesfeld,New York,Hotels,Yeshiva U. High School for Boys (New York),New York,Education,Gift,"$1,000,000 "
2016,Marcus Lemonis,New York,Media and entertainment,"U. of Miami (Coral Gables, Fla.)",Florida,Colleges and universities,PledgeChallenge,"$1,000,000 "
2016,Leonard and Louise Riggio,New York,Retail,Spelman College (Atlanta),Georgia,Colleges and universities,,"$1,000,000 "
2016,Betty Dancey,,Food and beverage,"Culver-Stockton College (Canton, Mo.)",Missouri,Colleges and universities,,"$1,000,000 "
2016,Bill Greehey,Texas,"Energy, Oil",St. Mary's U. (San Antonio),Texas,Colleges and universities,,"$1,000,000 "
2016,Harold H. Bate Foundation (Harold Bate),,Investments,"CarolinaEast Health System (New Bern, N.C.)",North Carolina,Health,Bequest,"$1,000,000 "
2016,Bob and Mary Stewart,Texas,Engineering,West Texas A&M U. (Canyon),Texas,Colleges and universities,,"$1,000,000 "
2016,Craig Bush,,Investments,Michigan State U. Athletics (East Lansing),Michigan,Colleges and universities,,"$1,000,000 "
2016,Larry and Judy Reiners,Oklahoma,,"Trine U. (Angola, Ind.)",Indiana,Colleges and universities,Pledge,"$1,000,000 "
2016,Sullivan family,,,"Lake Champlain Community Sailing Center (Burlington, Vt.)",Vermont,Other groups,,"$1,000,000 "
2016,Anonymous,,,"Woodlawn Museum (Ellsworth, Me.)",Maine,Historic preservation,GiftMatching,"$1,000,000 "
2016,Pomerleau Family Foundation (Antonio Pomerleau),,Real estate,"Lake Champlain Community Sailing Center (Burlington, Vt.)",Vermont,Other groups,,"$1,000,000 "
2016,Shashikant and Margaret Gupta,Virginia,Technology,"Wolf Trap Foundation (Vienna, Va.)",Virginia,Arts,,"$1,000,000 "
2016,Katherine R. (Kay) Birck,Illinois,,"Benedictine U. (Lisle, Ill.)",Illinois,Colleges and universities,,"$1,000,000 "
2016,Edsel B. Ford II and Cynthia Ford,Michigan,"Family wealth, Transportation",Detroit Zoological Society,Michigan,Zoos and aquariums,Gift,"$1,000,000 "
2016,Richard C. Devereaux Foundation (Leslie Devereaux),Michigan,"Family wealth, Manufacturing",Detroit Zoological Society,Michigan,Zoos and aquariums,Gift,"$1,000,000 "
2016,Ted Lindsay Foundation (Ted Lindsay),Michigan,Professional Sports,"Beaumont Health System (Royal Oak, Mich.)",Michigan,Health,Gift,"$1,000,000 "
2016,Gerald and Janet Keller,,,U. of Toledo (Ohio),Ohio,Colleges and universities,,"$1,000,000 "
2016,Sheila Labrecque,,Finance,Villanova U. (Pa.),Pennsylvania,Colleges and universities,,"$1,000,000 "
2016,Solomon Snyder,Maryland,Health care,Beth Am Synagogue (Baltimore),Maryland,Religious groups,Gift,"$1,000,000 "
2016,Alexander Grass Foundation (Elizabeth Grass Weese),Pennsylvania,"Family wealth, Retail",Beth Am Synagogue (Baltimore),Maryland,Religious groups,Gift,"$1,000,000 "
2016,Patricia and Mark Joseph,Maryland,Real estate,Beth Am Synagogue (Baltimore),Maryland,Religious groups,Gift,"$1,000,000 "
2016,Patricia and Mark Joseph,Maryland,Real estate,CollegeBound Foundation (Baltimore),Maryland,Education,Gift,"$1,000,000 "
2016,Anonymous,,,West Virginia U. Nursery School (Morgantown),West Virginia,Education,Gift,"$1,000,000 "
2016,Paul A. Saffrin Foundation (Paul A. Saffrin),New York,"Chemicals, Manufacturing","Explore and More Children's Museum (East Aurora, N.Y.)",New York,Museums and libraries,Gift,"$1,000,000 "
2016,Anonymous,,,U. of Missouri at Columbia,Missouri,Colleges and universities,,"$1,000,000 "
2016,Mike and Karen Hartley,,,Florida Gulf Coast U. (Fort Myers),Florida,Colleges and universities,,"$1,000,000 "
2016,Craig Newmark Foundation (Craig Newmark),,Advertising,"Poynter Institute for Media Studies (St. Petersburg, Fla.)",Florida,Colleges and universities,,"$1,000,000 "
2016,J.B. and Johnelle Hunt,Arkansas,"Real estate, Transportation",Arkansas Children's Hospital Foundation (Little Rock),Arkansas,Health,Gift,"$1,000,000 "
2016,Fadil Bayyari,Arkansas,Construction,Arkansas Children's Hospital Foundation (Little Rock),Arkansas,Health,Gift,"$1,000,000 "
2016,Jolita Leonas-Arzbaecher,Illinois,,U. of Arizona Health Sciences (Tucson),Arizona,Colleges and universities,,"$1,000,000 "
2016,Gallogly family,,,U. of Colorado at Boulder,Colorado,Colleges and universities,,"$1,000,000 "
2016,Paul A. Saffrin Foundation (Paul Saffrin),New York,,"Daemen College (Amherst, N.Y.)",New York,Colleges and universities,,"$1,000,000 "
2016,Stanley Degler,Virginia,Media and entertainment,Pennsylvania State U. (University Park),Pennsylvania,Colleges and universities,,"$1,000,000 "
2016,Robert and Carol Adcock,Arkansas,Finance,U. of Central Arkansas (Conway),Arkansas,Colleges and universities,,"$1,000,000 "
2016,Glazer family,Texas,Food and beverage,"Legacy Senior Communities (Plano, Tex.)",Texas,Human and social services,Gift,"$1,000,000 "
2016,William and Sylvia Zale Foundation (William and Sylvia Zale),Texas,Retail,"Legacy Senior Communities (Plano, Tex.)",Texas,Human and social services,Gift,"$1,000,000 "
2016,Richard & Jane Manoogian Foundation (Richard A. and Jane Manoogian),Michigan,"Construction, Manufacturing","University Liggett School (Grosse Pointe Woods, Mich.)",Michigan,Education,Gift,"$1,000,000 "
2016,Hellman Foundation (F. Warren and Chris Hellman),California,Finance,Hamilton Families (San Francisco),California,Human and social services,Gift,"$1,000,000 "
2016,Ron Conway,California,"Finance, Technology",Hamilton Families (San Francisco),California,Human and social services,Gift,"$1,000,000 "
2016,Hamill Family Foundation (Jonathan C. Hamill and Nancy Hamill Winter and Elizabeth Hamill Bramsen),Illinois,"Family wealth, Finance","Morton Arboretum (Lisle, Ill.)",Illinois,Zoos and aquariums,GiftChallenge,"$1,000,000 "
2016,Schultz Family Foundation (Howard and Sheri Schultz),Washington,Food and beverage,Mary's Place (Seattle),Washington,Human and social services,Gift,"$1,000,000 "
2016,Peter and Sarah Coade Mandell,California,Finance,American Youth Symphony (Los Angeles),California,Arts,Gift,"$1,000,000 "
2016,Curtis and Elizabeth Anderson,Georgia,Finance,"Memorial U. Medical Center (Savannah, Ga.)",Georgia,Health,Gift,"$1,000,000 "
2016,Robert J. and Laura Fogarty,Ohio,Law,Cleveland Clinic,Ohio,Health,Gift,"$1,000,000 "
2016,Siavouche and Eva Nemat-Nasser,,"Education, Engineering",U. of California at San Diego,California,Colleges and universities,,"$1,000,000 "
2016,Robert and Marilyn Weiss,California,Health products,U. of Scranton (Pa.),Pennsylvania,Colleges and universities,,"$1,000,000 "
2016,Ken Hakuta,,"Invention, Media and entertainment","Harvard Art Museums (Cambridge, Mass.)",Massachusetts,Colleges and universities,,"$1,000,000 "
2016,Marianne Harms,Maryland,Engineering,College of Southern Maryland Foundation (La Plata),Maryland,Colleges and universities,Gift,"$1,000,000 "
2016,Shaun Livingston,California,Professional Sports,"Concordia Lutheran School (Peoria, Ill.)",Illinois,Education,Gift,"$1,000,000 "
2016,David and Anne Myers,Colorado,Entertainment,"Columbia River Maritime Museum (Astoria, Ore.)",Oregon,Museums and libraries,Gift,"$1,000,000 "
